query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,attr3_low,attr3_high,expected_top10
26,attr1_nav_sel0.01,1,49410,81032,28070,59692,60109,91731,24480,56102,
27,attr2_nav_sel0.01,2,68377,99999,7866,39488,28245,59867,19696,51318,
28,attr3_nav_sel0.01,3,26676,58298,16509,48131,7735,39357,15352,46974,
29,balanced_sel0.01,0,58161,89783,9550,41172,36760,68382,56989,88611,
30,attr0_nav_sel0.01,0,14385,46007,68377,99999,68377,99999,68377,99999,
31,attr1_nav_sel0.01,1,4760,36382,50985,82607,0,31622,41977,73599,
32,attr2_nav_sel0.01,2,21724,53346,55208,86830,25475,57097,0,31622,
33,attr3_nav_sel0.01,3,56496,88118,11282,42904,30714,62336,4077,35699,
34,balanced_sel0.01,0,16026,47648,11234,42856,68377,99999,68377,99999,
35,attr0_nav_sel0.01,0,68377,99999,12350,43972,44565,76187,29528,61150,
36,attr1_nav_sel0.01,1,64931,96553,56693,88315,68377,99999,13408,45030,
37,attr2_nav_sel0.01,2,6822,38444,28803,60425,0,31622,68280,99902,
38,attr3_nav_sel0.01,3,68377,99999,41813,73435,68377,99999,33996,65618,
39,balanced_sel0.01,0,9972,41594,51313,82935,68377,99999,68377,99999,
40,attr0_nav_sel0.01,0,51637,83259,0,31622,63184,94806,38753,70375,
41,attr1_nav_sel0.01,1,68377,99999,45574,77196,31178,62800,0,31622,
42,attr2_nav_sel0.01,2,35373,66995,10061,41683,63201,94823,0,31622,
43,attr3_nav_sel0.01,3,68377,99999,54967,86589,15235,46857,0,31622,
44,balanced_sel0.01,0,67179,98801,68377,99999,13413,45035,31446,63068,
45,attr0_nav_sel0.01,0,48182,79804,35151,66773,68377,99999,44874,76496,
46,attr1_nav_sel0.01,1,15648,47270,49389,81011,42008,73630,33568,65190,
47,attr2_nav_sel0.01,2,51787,83409,28538,60160,9568,41190,0,31622,
48,attr3_nav_sel0.01,3,27598,59220,68377,99999,0,31622,48906,80528,
49,balanced_sel0.01,0,11630,43252,52431,84053,63571,95193,20921,52543,
50,attr0_nav_sel0.01,0,65813,97435,38544,70166,66332,97954,14511,46133,
51,attr1_nav_sel0.01,1,0,31622,68377,99999,68377,99999,68213,99835,
52,attr2_nav_sel0.01,2,4183,35805,61946,93568,46837,78459,27167,58789,
53,attr3_nav_sel0.01,3,0,31622,68377,99999,68377,99999,16774,48396,
54,balanced_sel0.01,0,2685,34307,0,31622,68377,99999,0,31622,
55,attr0_nav_sel0.01,0,68377,99999,0,31622,0,31622,11049,42671,
56,attr1_nav_sel0.01,1,16443,48065,68377,99999,29487,61109,34372,65994,
57,attr2_nav_sel0.01,2,68377,99999,63317,94939,68177,99799,0,31622,
58,attr3_nav_sel0.01,3,68377,99999,47968,79590,68377,99999,15178,46800,
59,balanced_sel0.01,0,46058,77680,0,31622,64369,95991,27834,59456,
60,attr0_nav_sel0.01,0,22733,54355,1819,33441,37407,69029,32153,63775,
61,attr1_nav_sel0.01,1,45258,76880,12101,43723,59832,91454,0,31622,
62,attr2_nav_sel0.01,2,0,31622,21082,52704,68377,99999,0,31622,
63,attr3_nav_sel0.01,3,68377,99999,5037,36659,43567,75189,0,31622,
64,balanced_sel0.01,0,0,31622,3489,35111,68377,99999,24855,56477,
65,attr0_nav_sel0.01,0,27316,58938,0,31622,10119,41741,46243,77865,
66,attr1_nav_sel0.01,1,36196,67818,707,32329,59797,91419,25955,57577,
67,attr2_nav_sel0.01,2,43177,74799,51,31673,21549,53171,54092,85714,
68,attr3_nav_sel0.01,3,68377,99999,0,31622,0,31622,42098,73720,
69,balanced_sel0.01,0,66175,97797,0,31622,10431,42053,31020,62642,
70,attr0_nav_sel0.01,0,68377,99999,21159,52781,3816,35438,52090,83712,
71,attr1_nav_sel0.01,1,18626,50248,66754,98376,11821,43443,49850,81472,
72,attr2_nav_sel0.01,2,2979,34601,37528,69150,58840,90462,32359,63981,
73,attr3_nav_sel0.01,3,2412,34034,32505,64127,25696,57318,25261,56883,
74,balanced_sel0.01,0,3151,34773,0,31622,0,31622,68377,99999,
75,attr0_nav_sel0.01,0,68377,99999,46252,77874,43260,74882,5752,37374,
76,attr1_nav_sel0.01,1,44532,76154,0,31622,0,31622,15213,46835,
77,attr2_nav_sel0.01,2,23723,55345,56503,88125,37233,68855,43786,75408,
78,attr3_nav_sel0.01,3,65117,96739,0,31622,36082,67704,68377,99999,
79,balanced_sel0.01,0,10622,42244,49561,81183,0,31622,68377,99999,
80,attr0_nav_sel0.01,0,0,31622,59194,90816,57838,89460,58176,89798,
81,attr1_nav_sel0.01,1,6308,37930,27171,58793,28807,60429,9803,41425,
82,attr2_nav_sel0.01,2,68377,99999,68377,99999,44814,76436,0,31622,
83,attr3_nav_sel0.01,3,34311,65933,32110,63732,68377,99999,41365,72987,
84,balanced_sel0.01,0,22996,54618,28058,59680,61825,93447,27536,59158,
85,attr0_nav_sel0.01,0,51453,83075,68377,99999,52135,83757,68377,99999,
86,attr1_nav_sel0.01,1,25023,56645,1412,33034,6489,38111,49968,81590,
87,attr2_nav_sel0.01,2,16048,47670,33932,65554,52775,84397,39886,71508,
88,attr3_nav_sel0.01,3,0,31622,0,31622,38201,69823,68377,99999,
89,balanced_sel0.01,0,27919,59541,68377,99999,28519,60141,46999,78621,
90,attr0_nav_sel0.01,0,56995,88617,5988,37610,0,31622,67866,99488,
91,attr1_nav_sel0.01,1,5161,36783,6009,37631,40513,72135,33372,64994,
92,attr2_nav_sel0.01,2,50210,81832,68377,99999,0,31622,0,31622,
93,attr3_nav_sel0.01,3,33417,65039,12540,44162,34013,65635,26074,57696,
94,balanced_sel0.01,0,5836,37458,7234,38856,8656,40278,0,31622,
95,attr0_nav_sel0.01,0,34111,65733,59232,90854,0,31622,23224,54846,
96,attr1_nav_sel0.01,1,68377,99999,40426,72048,39785,71407,68377,99999,
97,attr2_nav_sel0.01,2,49006,80628,62815,94437,8712,40334,25629,57251,
98,attr3_nav_sel0.01,3,0,31622,52576,84198,21163,52785,0,31622,
99,balanced_sel0.01,0,55317,86939,5487,37109,24156,55778,61488,93110,
100,attr0_nav_sel0.01,0,28620,60242,65191,96813,63049,94671,46443,78065,
101,attr1_nav_sel0.01,1,0,31622,68377,99999,48355,79977,36066,67688,
102,attr2_nav_sel0.01,2,0,31622,68377,99999,28852,60474,0,31622,
103,attr3_nav_sel0.01,3,68377,99999,27653,59275,39315,70937,47396,79018,
104,balanced_sel0.01,0,68377,99999,54994,86616,49066,80688,68377,99999,
105,attr0_nav_sel0.01,0,41479,73101,36146,67768,50207,81829,41364,72986,
106,attr1_nav_sel0.01,1,469,32091,68377,99999,38015,69637,68377,99999,
107,attr2_nav_sel0.01,2,21460,53082,12920,44542,16828,48450,67306,98928,
108,attr3_nav_sel0.01,3,66472,98094,6363,37985,9382,41004,39698,71320,
109,balanced_sel0.01,0,68377,99999,63728,95350,0,31622,13218,44840,
110,attr0_nav_sel0.01,0,68377,99999,33607,65229,50175,81797,4883,36505,
111,attr1_nav_sel0.01,1,4006,35628,0,31622,68377,99999,6562,38184,
112,attr2_nav_sel0.01,2,54857,86479,67377,98999,46963,78585,527,32149,
113,attr3_nav_sel0.01,3,44381,76003,61106,92728,43833,75455,62883,94505,
114,balanced_sel0.01,0,0,31622,4887,36509,52967,84589,30130,61752,
115,attr0_nav_sel0.01,0,68377,99999,12164,43786,39211,70833,18358,49980,
116,attr1_nav_sel0.01,1,51488,83110,27710,59332,68377,99999,62192,93814,
117,attr2_nav_sel0.01,2,66397,98019,0,31622,0,31622,28715,60337,
118,attr3_nav_sel0.01,3,9688,41310,30457,62079,17398,49020,68377,99999,
119,balanced_sel0.01,0,0,31622,54428,86050,58451,90073,21586,53208,
120,attr0_nav_sel0.01,0,68377,99999,11116,42738,0,31622,14735,46357,
121,attr1_nav_sel0.01,1,65991,97613,46207,77829,7949,39571,45636,77258,
122,attr2_nav_sel0.01,2,7141,38763,68377,99999,68377,99999,49988,81610,
123,attr3_nav_sel0.01,3,0,31622,22622,54244,4993,36615,33022,64644,
124,balanced_sel0.01,0,0,31622,8845,40467,1785,33407,67376,98998,
125,attr0_nav_sel0.01,0,27822,59444,5067,36689,12679,44301,68377,99999,
126,attr1_nav_sel0.01,1,34235,65857,48374,79996,62846,94468,32561,64183,
127,attr2_nav_sel0.01,2,68377,99999,34877,66499,68377,99999,42045,73667,
128,attr3_nav_sel0.01,3,49873,81495,68377,99999,33129,64751,37228,68850,
129,balanced_sel0.01,0,68377,99999,19026,50648,68377,99999,48898,80520,
130,attr0_nav_sel0.01,0,0,31622,60692,92314,42354,73976,39254,70876,
131,attr1_nav_sel0.01,1,45721,77343,0,31622,22744,54366,49305,80927,
132,attr2_nav_sel0.01,2,31440,63062,52198,83820,68377,99999,44504,76126,
133,attr3_nav_sel0.01,3,0,31622,39771,71393,42616,74238,0,31622,
134,balanced_sel0.01,0,0,31622,66553,98175,31623,63245,68377,99999,
135,attr0_nav_sel0.01,0,64762,96384,68377,99999,61047,92669,39441,71063,
136,attr1_nav_sel0.01,1,9850,41472,0,31622,32422,64044,68377,99999,
137,attr2_nav_sel0.01,2,13648,45270,68377,99999,20728,52350,38961,70583,
138,attr3_nav_sel0.01,3,68377,99999,44343,75965,67048,98670,0,31622,
139,balanced_sel0.01,0,43174,74796,10586,42208,68377,99999,52543,84165,
140,attr0_nav_sel0.01,0,40696,72318,32941,64563,51964,83586,9572,41194,
141,attr1_nav_sel0.01,1,24268,55890,28793,60415,68377,99999,45990,77612,
142,attr2_nav_sel0.01,2,36527,68149,68377,99999,61645,93267,8424,40046,
143,attr3_nav_sel0.01,3,13796,45418,65638,97260,58364,89986,55898,87520,
144,balanced_sel0.01,0,0,31622,62451,94073,32512,64134,68377,99999,
145,attr0_nav_sel0.01,0,26434,58056,0,31622,0,31622,52470,84092,
146,attr1_nav_sel0.01,1,68377,99999,54055,85677,40841,72463,68377,99999,
147,attr2_nav_sel0.01,2,0,31622,57468,89090,68377,99999,0,31622,
148,attr3_nav_sel0.01,3,50712,82334,2506,34128,16571,48193,45793,77415,
149,balanced_sel0.01,0,33268,64890,47819,79441,68377,99999,11912,43534,
150,attr0_nav_sel0.01,0,55615,87237,1538,33160,23939,55561,44705,76327,
151,attr1_nav_sel0.01,1,56440,88062,56670,88292,68377,99999,68377,99999,
152,attr2_nav_sel0.01,2,37999,69621,68377,99999,55023,86645,12896,44518,
153,attr3_nav_sel0.01,3,58668,90290,67090,98712,0,31622,0,31622,
154,balanced_sel0.01,0,53575,85197,58986,90608,68377,99999,47379,79001,
155,attr0_nav_sel0.01,0,68377,99999,931,32553,0,31622,0,31622,
156,attr1_nav_sel0.01,1,68377,99999,7937,39559,68377,99999,0,31622,
157,attr2_nav_sel0.01,2,68065,99687,5351,36973,27267,58889,68377,99999,
158,attr3_nav_sel0.01,3,68377,99999,67689,99311,18462,50084,68377,99999,
159,balanced_sel0.01,0,37497,69119,68377,99999,68377,99999,49047,80669,
160,attr0_nav_sel0.01,0,14307,45929,17187,48809,37700,69322,22188,53810,
161,attr1_nav_sel0.01,1,25637,57259,51679,83301,2030,33652,68377,99999,
162,attr2_nav_sel0.01,2,24807,56429,63547,95169,30382,62004,25035,56657,
163,attr3_nav_sel0.01,3,0,31622,22315,53937,4417,36039,0,31622,
164,balanced_sel0.01,0,66880,98502,21330,52952,22923,54545,31096,62718,
165,attr0_nav_sel0.01,0,43036,74658,0,31622,34066,65688,0,31622,
166,attr1_nav_sel0.01,1,0,31622,5110,36732,61010,92632,0,31622,
167,attr2_nav_sel0.01,2,4400,36022,68377,99999,2198,33820,66440,98062,
168,attr3_nav_sel0.01,3,45642,77264,68377,99999,9783,41405,20375,51997,
169,balanced_sel0.01,0,12699,44321,48073,79695,59749,91371,8395,40017,
170,attr0_nav_sel0.01,0,48335,79957,53994,85616,68377,99999,68377,99999,
171,attr1_nav_sel0.01,1,0,31622,68377,99999,0,31622,29748,61370,
172,attr2_nav_sel0.01,2,0,31622,14056,45678,47786,79408,0,31622,
173,attr3_nav_sel0.01,3,0,31622,0,31622,4744,36366,66616,98238,
174,balanced_sel0.01,0,14922,46544,68377,99999,43891,75513,68377,99999,
175,attr0_nav_sel0.01,0,68377,99999,42772,74394,0,31622,68377,99999,
176,attr1_nav_sel0.01,1,0,31622,0,31622,0,31622,33204,64826,
177,attr2_nav_sel0.01,2,62694,94316,68377,99999,68377,99999,30559,62181,
178,attr3_nav_sel0.01,3,48550,80172,68377,99999,16048,47670,68377,99999,
179,balanced_sel0.01,0,23491,55113,34273,65895,68377,99999,31956,63578,
180,attr0_nav_sel0.01,0,47927,79549,13362,44984,26345,57967,33461,65083,
181,attr1_nav_sel0.01,1,68377,99999,0,31622,15930,47552,5811,37433,
182,attr2_nav_sel0.01,2,21400,53022,54722,86344,36047,67669,68377,99999,
183,attr3_nav_sel0.01,3,8236,39858,68377,99999,23252,54874,30728,62350,
184,balanced_sel0.01,0,68377,99999,68377,99999,1287,32909,53364,84986,
185,attr0_nav_sel0.01,0,68377,99999,57690,89312,68377,99999,68377,99999,
186,attr1_nav_sel0.01,1,68377,99999,46782,78404,59987,91609,5957,37579,
187,attr2_nav_sel0.01,2,68377,99999,45100,76722,34756,66378,40254,71876,
188,attr3_nav_sel0.01,3,18513,50135,68377,99999,42124,73746,0,31622,
189,balanced_sel0.01,0,19375,50997,0,31622,63001,94623,1692,33314,
190,attr0_nav_sel0.01,0,0,31622,51428,83050,37294,68916,60443,92065,
191,attr1_nav_sel0.01,1,5296,36918,53522,85144,37583,69205,20464,52086,
192,attr2_nav_sel0.01,2,68377,99999,66219,97841,68377,99999,68377,99999,
193,attr3_nav_sel0.01,3,51325,82947,0,31622,68377,99999,8422,40044,
194,balanced_sel0.01,0,13861,45483,0,31622,58275,89897,35781,67403,
195,attr0_nav_sel0.01,0,0,31622,2471,34093,68377,99999,65092,96714,
196,attr1_nav_sel0.01,1,67766,99388,42870,74492,31327,62949,41273,72895,
197,attr2_nav_sel0.01,2,10516,42138,0,31622,59192,90814,40179,71801,
198,attr3_nav_sel0.01,3,0,31622,57652,89274,16478,48100,68377,99999,
199,balanced_sel0.01,0,68377,99999,14568,46190,0,31622,0,31622,
200,attr0_nav_sel0.01,0,24871,56493,58321,89943,29804,61426,1086,32708,
201,attr1_nav_sel0.01,1,5247,36869,68377,99999,40991,72613,45094,76716,
202,attr2_nav_sel0.01,2,33875,65497,22441,54063,42901,74523,33564,65186,
203,attr3_nav_sel0.01,3,51696,83318,0,31622,15797,47419,61237,92859,
204,balanced_sel0.01,0,22936,54558,0,31622,18113,49735,67260,98882,
205,attr0_nav_sel0.01,0,58849,90471,2601,34223,5866,37488,41705,73327,
206,attr1_nav_sel0.01,1,46398,78020,36432,68054,43427,75049,39398,71020,
207,attr2_nav_sel0.01,2,2338,33960,60025,91647,64782,96404,0,31622,
208,attr3_nav_sel0.01,3,40499,72121,7755,39377,24463,56085,55088,86710,
209,balanced_sel0.01,0,68377,99999,3809,35431,61065,92687,35930,67552,
210,attr0_nav_sel0.01,0,41895,73517,62712,94334,65907,97529,68377,99999,
211,attr1_nav_sel0.01,1,21866,53488,68377,99999,45637,77259,25786,57408,
212,attr2_nav_sel0.01,2,62892,94514,318,31940,65759,97381,47209,78831,
213,attr3_nav_sel0.01,3,0,31622,17937,49559,62483,94105,48028,79650,
214,balanced_sel0.01,0,0,31622,49647,81269,56313,87935,68377,99999,
215,attr0_nav_sel0.01,0,0,31622,63618,95240,0,31622,32615,64237,
216,attr1_nav_sel0.01,1,44211,75833,45531,77153,68377,99999,7081,38703,
217,attr2_nav_sel0.01,2,28162,59784,24947,56569,18889,50511,11613,43235,
218,attr3_nav_sel0.01,3,0,31622,68377,99999,0,31622,68377,99999,
219,balanced_sel0.01,0,24419,56041,12475,44097,23423,55045,0,31622,
220,attr0_nav_sel0.01,0,52035,83657,68377,99999,0,31622,62329,93951,
221,attr1_nav_sel0.01,1,10684,42306,13979,45601,0,31622,37884,69506,
222,attr2_nav_sel0.01,2,68377,99999,66780,98402,23322,54944,4624,36246,
223,attr3_nav_sel0.01,3,68377,99999,68377,99999,27900,59522,9757,41379,
224,balanced_sel0.01,0,68077,99699,44225,75847,68377,99999,68377,99999,
225,attr0_nav_sel0.01,0,58198,89820,0,31622,1476,33098,61721,93343,
226,attr1_nav_sel0.01,1,18192,49814,0,31622,43940,75562,68377,99999,
227,attr2_nav_sel0.01,2,27035,58657,68377,99999,63519,95141,7743,39365,
228,attr3_nav_sel0.01,3,48840,80462,24956,56578,65342,96964,64092,95714,
229,balanced_sel0.01,0,57208,88830,68377,99999,38857,70479,68377,99999,
230,attr0_nav_sel0.01,0,68377,99999,43817,75439,26088,57710,0,31622,
231,attr1_nav_sel0.01,1,68377,99999,53083,84705,47146,78768,21100,52722,
232,attr2_nav_sel0.01,2,55095,86717,14478,46100,0,31622,52011,83633,
233,attr3_nav_sel0.01,3,68377,99999,31052,62674,62025,93647,48062,79684,
234,balanced_sel0.01,0,58437,90059,0,31622,27956,59578,0,31622,
235,attr0_nav_sel0.01,0,68377,99999,34026,65648,34486,66108,68377,99999,
236,attr1_nav_sel0.01,1,23371,54993,46853,78475,36039,67661,68377,99999,
237,attr2_nav_sel0.01,2,0,31622,41295,72917,8211,39833,68377,99999,
238,attr3_nav_sel0.01,3,68377,99999,68377,99999,31302,62924,34775,66397,
239,balanced_sel0.01,0,40928,72550,15426,47048,36302,67924,18906,50528,
240,attr0_nav_sel0.01,0,19889,51511,0,31622,52183,83805,44571,76193,
241,attr1_nav_sel0.01,1,18751,50373,31293,62915,57173,88795,42538,74160,
242,attr2_nav_sel0.01,2,20881,52503,28824,60446,52372,83994,51652,83274,
243,attr3_nav_sel0.01,3,68377,99999,61927,93549,42206,73828,34782,66404,
244,balanced_sel0.01,0,44772,76394,62866,94488,58486,90108,4158,35780,
245,attr0_nav_sel0.01,0,21299,52921,911,32533,49575,81197,60275,91897,
246,attr1_nav_sel0.01,1,27299,58921,68377,99999,31611,63233,0,31622,
247,attr2_nav_sel0.01,2,49788,81410,44943,76565,62833,94455,33725,65347,
248,attr3_nav_sel0.01,3,0,31622,68377,99999,37313,68935,0,31622,
249,balanced_sel0.01,0,0,31622,65435,97057,44,31666,17991,49613,
250,attr0_nav_sel0.01,0,39656,71278,50012,81634,22357,53979,22045,53667,
251,attr1_nav_sel0.01,1,59776,91398,20750,52372,0,31622,39096,70718,
252,attr2_nav_sel0.01,2,501,32123,7088,38710,39039,70661,50053,81675,
253,attr3_nav_sel0.01,3,0,31622,59990,91612,1739,33361,68377,99999,
254,balanced_sel0.01,0,68377,99999,37806,69428,45053,76675,68377,99999,
255,attr0_nav_sel0.01,0,24283,55905,43082,74704,49942,81564,0,31622,
256,attr1_nav_sel0.01,1,0,31622,0,31622,0,31622,8262,39884,
257,attr2_nav_sel0.01,2,0,31622,0,31622,10542,42164,56478,88100,
258,attr3_nav_sel0.01,3,45831,77453,10467,42089,31239,62861,34603,66225,
259,balanced_sel0.01,0,41656,73278,56476,88098,35442,67064,68377,99999,
260,attr0_nav_sel0.01,0,67487,99109,0,31622,14200,45822,42501,74123,
261,attr1_nav_sel0.01,1,0,31622,32889,64511,13387,45009,68377,99999,
262,attr2_nav_sel0.01,2,61245,92867,0,31622,38214,69836,59618,91240,
263,attr3_nav_sel0.01,3,68377,99999,66062,97684,40178,71800,19154,50776,
264,balanced_sel0.01,0,0,31622,29266,60888,66154,97776,68227,99849,
265,attr0_nav_sel0.01,0,53402,85024,42651,74273,25089,56711,63498,95120,
266,attr1_nav_sel0.01,1,33080,64702,124,31746,0,31622,0,31622,
267,attr2_nav_sel0.01,2,68377,99999,52916,84538,0,31622,36878,68500,
268,attr3_nav_sel0.01,3,29989,61611,39527,71149,23727,55349,4714,36336,
269,balanced_sel0.01,0,0,31622,49611,81233,52042,83664,57736,89358,
270,attr0_nav_sel0.01,0,61930,93552,0,31622,34735,66357,68377,99999,
271,attr1_nav_sel0.01,1,29343,60965,66026,97648,52229,83851,68377,99999,
272,attr2_nav_sel0.01,2,53555,85177,68377,99999,62666,94288,49033,80655,
273,attr3_nav_sel0.01,3,40596,72218,0,31622,68377,99999,45261,76883,
274,balanced_sel0.01,0,0,31622,22372,53994,68377,99999,0,31622,
275,attr0_nav_sel0.01,0,68377,99999,20424,52046,23341,54963,1508,33130,
276,attr1_nav_sel0.01,1,68377,99999,53530,85152,0,31622,6837,38459,
277,attr2_nav_sel0.01,2,39219,70841,47093,78715,68377,99999,19484,51106,
278,attr3_nav_sel0.01,3,9194,40816,68377,99999,0,31622,34286,65908,
279,balanced_sel0.01,0,6168,37790,68377,99999,4886,36508,0,31622,
280,attr0_nav_sel0.01,0,28657,60279,68377,99999,32451,64073,68377,99999,
281,attr1_nav_sel0.01,1,33298,64920,0,31622,67795,99417,13483,45105,
282,attr2_nav_sel0.01,2,0,31622,20170,51792,0,31622,54406,86028,
283,attr3_nav_sel0.01,3,0,31622,7102,38724,16799,48421,62026,93648,
284,balanced_sel0.01,0,68377,99999,8702,40324,15891,47513,58257,89879,
285,attr0_nav_sel0.01,0,6251,37873,23095,54717,68377,99999,36358,67980,
286,attr1_nav_sel0.01,1,39562,71184,41516,73138,27603,59225,0,31622,
287,attr2_nav_sel0.01,2,0,31622,65200,96822,15407,47029,26184,57806,
288,attr3_nav_sel0.01,3,0,31622,0,31622,45274,76896,0,31622,
289,balanced_sel0.01,0,68377,99999,68377,99999,16249,47871,0,31622,
290,attr0_nav_sel0.01,0,13244,44866,0,31622,49855,81477,34476,66098,
291,attr1_nav_sel0.01,1,61119,92741,68377,99999,68377,99999,22267,53889,
292,attr2_nav_sel0.01,2,35584,67206,39774,71396,68377,99999,68377,99999,
293,attr3_nav_sel0.01,3,68377,99999,12114,43736,55701,87323,45408,77030,
294,balanced_sel0.01,0,17552,49174,25219,56841,4411,36033,68377,99999,
295,attr0_nav_sel0.01,0,68377,99999,3707,35329,68377,99999,11629,43251,
296,attr1_nav_sel0.01,1,34722,66344,33318,64940,38666,70288,47899,79521,
297,attr2_nav_sel0.01,2,68377,99999,45191,76813,17021,48643,44547,76169,
298,attr3_nav_sel0.01,3,0,31622,37071,68693,0,31622,0,31622,
299,balanced_sel0.01,0,68377,99999,53504,85126,25394,57016,34792,66414,
300,attr0_nav_sel0.01,0,68377,99999,68377,99999,29223,60845,68377,99999,
301,attr1_nav_sel0.01,1,25884,57506,11385,43007,65721,97343,31674,63296,
302,attr2_nav_sel0.01,2,0,31622,68377,99999,27498,59120,68377,99999,
303,attr3_nav_sel0.01,3,23738,55360,0,31622,68377,99999,49594,81216,
304,balanced_sel0.01,0,0,31622,65837,97459,68377,99999,21708,53330,
305,attr0_nav_sel0.01,0,1214,32836,5191,36813,16863,48485,14624,46246,
306,attr1_nav_sel0.01,1,0,31622,0,31622,31796,63418,49023,80645,
307,attr2_nav_sel0.01,2,0,31622,6532,38154,68377,99999,10722,42344,
308,attr3_nav_sel0.01,3,38902,70524,60454,92076,68377,99999,8898,40520,
309,balanced_sel0.01,0,13931,45553,68377,99999,5812,37434,3017,34639,
310,attr0_nav_sel0.01,0,21052,52674,68377,99999,22977,54599,3479,35101,
311,attr1_nav_sel0.01,1,63182,94804,68377,99999,38422,70044,68377,99999,
312,attr2_nav_sel0.01,2,61946,93568,21210,52832,58385,90007,9875,41497,
313,attr3_nav_sel0.01,3,0,31622,11093,42715,68377,99999,38019,69641,
314,balanced_sel0.01,0,64626,96248,27199,58821,48890,80512,51334,82956,
315,attr0_nav_sel0.01,0,62569,94191,12499,44121,0,31622,0,31622,
316,attr1_nav_sel0.01,1,68377,99999,33722,65344,66341,97963,48337,79959,
317,attr2_nav_sel0.01,2,59014,90636,52622,84244,14071,45693,4092,35714,
318,attr3_nav_sel0.01,3,58859,90481,66257,97879,1078,32700,68377,99999,
319,balanced_sel0.01,0,35060,66682,16933,48555,32878,64500,68377,99999,
320,attr0_nav_sel0.01,0,64839,96461,68377,99999,53857,85479,68377,99999,
321,attr1_nav_sel0.01,1,68377,99999,4396,36018,68377,99999,0,31622,
322,attr2_nav_sel0.01,2,42426,74048,10902,42524,68377,99999,60526,92148,
323,attr3_nav_sel0.01,3,68377,99999,13633,45255,35228,66850,45496,77118,
324,balanced_sel0.01,0,29171,60793,20983,52605,0,31622,51093,82715,
325,attr0_nav_sel0.01,0,61464,93086,19088,50710,63504,95126,27638,59260,
326,attr1_nav_sel0.01,1,68377,99999,31468,63090,46318,77940,56016,87638,
327,attr2_nav_sel0.01,2,47749,79371,44847,76469,9127,40749,58365,89987,
328,attr3_nav_sel0.01,3,54956,86578,68377,99999,22660,54282,68377,99999,
329,balanced_sel0.01,0,2479,34101,15020,46642,63679,95301,65632,97254,
330,attr0_nav_sel0.01,0,68377,99999,68377,99999,0,31622,67008,98630,
331,attr1_nav_sel0.01,1,57487,89109,0,31622,6472,38094,0,31622,
332,attr2_nav_sel0.01,2,66555,98177,10469,42091,38891,70513,32542,64164,
333,attr3_nav_sel0.01,3,3123,34745,34142,65764,37950,69572,22410,54032,
334,balanced_sel0.01,0,68377,99999,59552,91174,61948,93570,25927,57549,
335,attr0_nav_sel0.01,0,15605,47227,21697,53319,0,31622,0,31622,
336,attr1_nav_sel0.01,1,68377,99999,5530,37152,67041,98663,8796,40418,
337,attr2_nav_sel0.01,2,13198,44820,60719,92341,25929,57551,16464,48086,
338,attr3_nav_sel0.01,3,0,31622,37652,69274,50765,82387,23279,54901,
339,balanced_sel0.01,0,8126,39748,17700,49322,68377,99999,68377,99999,
