query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,attr3_low,attr3_high,attr4_low,attr4_high,attr5_low,attr5_high,expected_top10
19,balanced,0,219982,419981,620060,820059,20668,220667,500000,999999,0,499999,500000,999999,
20,single_attr4,4,0,999999,0,999999,0,999999,0,999999,810778,910777,0,999999,
21,attr1_narrow,1,106956,606955,553924,653923,500000,999999,293246,793245,134386,634385,0,499999,
22,attr2_narrow,2,500000,999999,0,499999,696317,796316,309438,809437,500000,999999,500000,999999,
23,balanced,0,800000,999999,800000,999999,456351,656350,500000,999999,291266,791265,205744,705743,
24,attr0_narrow,0,809066,909065,500000,999999,44274,544273,488470,988469,262685,762684,404347,904346,
25,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,717930,817929,
26,attr2_narrow,2,0,499999,398740,898739,457173,557172,366766,866765,250491,750490,427970,927969,
27,balanced,0,27315,227314,364885,564884,542563,742562,303360,803359,73561,573560,237046,737045,
28,attr0_narrow,0,541231,641230,0,499999,0,499999,500000,999999,181511,681510,332515,832514,
29,attr1_narrow,1,86736,586735,0,99999,45351,545350,500000,999999,0,499999,500000,999999,
30,single_attr0,0,637410,737409,0,999999,0,999999,0,999999,0,999999,0,999999,
31,balanced,0,372945,572944,1866,201865,205688,405687,103099,603098,0,499999,57084,557083,
32,attr0_narrow,0,458974,558973,500000,999999,0,499999,0,499999,291420,791419,0,499999,
33,attr1_narrow,1,359195,859194,493225,593224,0,499999,500000,999999,484257,984256,0,499999,
34,attr2_narrow,2,500000,999999,500000,999999,893334,993333,39620,539619,113908,613907,0,499999,
35,single_attr1,1,0,999999,385792,485791,0,999999,0,999999,0,999999,0,999999,
36,attr0_narrow,0,631973,731972,0,499999,452920,952919,0,499999,500000,999999,500000,999999,
37,attr1_narrow,1,152079,652078,243243,343242,500000,999999,500000,999999,0,499999,422743,922742,
38,attr2_narrow,2,500000,999999,0,499999,538387,638386,52884,552883,7841,507840,500000,999999,
39,balanced,0,571700,771699,800000,999999,105494,305493,500000,999999,482741,982740,328718,828717,
40,single_attr2,2,0,999999,0,999999,647220,747219,0,999999,0,999999,0,999999,
41,attr1_narrow,1,0,499999,450259,550258,0,499999,98225,598224,289232,789231,0,499999,
42,attr2_narrow,2,0,499999,408272,908271,241231,341230,0,499999,90472,590471,500000,999999,
43,balanced,0,795755,995754,716803,916802,745201,945200,0,499999,12088,512087,484605,984604,
44,attr0_narrow,0,439145,539144,293343,793342,500000,999999,335702,835701,129834,629833,0,499999,
45,single_attr3,3,0,999999,0,999999,0,999999,195645,295644,0,999999,0,999999,
46,attr2_narrow,2,168461,668460,83042,583041,25404,125403,289839,789838,500000,999999,6898,506897,
47,balanced,0,91726,291725,230383,430382,327925,527924,500000,999999,0,499999,500000,999999,
48,attr0_narrow,0,135928,235927,479103,979102,302129,802128,500000,999999,2765,502764,0,499999,
49,attr1_narrow,1,72568,572567,141463,241462,169875,669874,3533,503532,195737,695736,500000,999999,
50,single_attr4,4,0,999999,0,999999,0,999999,0,999999,0,99999,0,999999,
51,balanced,0,392751,592750,355961,555960,435622,635621,500000,999999,0,499999,0,499999,
52,attr0_narrow,0,209112,309111,500000,999999,349669,849668,268803,768802,47236,547235,0,499999,
53,attr1_narrow,1,329858,829857,130368,230367,20774,520773,500000,999999,500000,999999,394383,894382,
54,attr2_narrow,2,500000,999999,500000,999999,430782,530781,500000,999999,475166,975165,488698,988697,
55,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,321212,421211,
56,attr0_narrow,0,864714,964713,478180,978179,375963,875962,500000,999999,0,499999,374022,874021,
57,attr1_narrow,1,0,499999,380372,480371,500000,999999,78086,578085,219798,719797,477518,977517,
58,attr2_narrow,2,170095,670094,353244,853243,679582,779581,0,499999,140756,640755,0,499999,
59,balanced,0,30138,230137,0,199999,778644,978643,0,499999,328569,828568,384771,884770,
60,single_attr0,0,405145,505144,0,999999,0,999999,0,999999,0,999999,0,999999,
61,attr1_narrow,1,500000,999999,511364,611363,7381,507380,0,499999,500000,999999,500000,999999,
62,attr2_narrow,2,500000,999999,500000,999999,332000,431999,0,499999,417438,917437,500000,999999,
63,balanced,0,536971,736970,800000,999999,244163,444162,0,499999,500000,999999,500000,999999,
64,attr0_narrow,0,298963,398962,0,499999,500000,999999,0,499999,0,499999,353446,853445,
65,single_attr1,1,0,999999,357668,457667,0,999999,0,999999,0,999999,0,999999,
66,attr2_narrow,2,484377,984376,0,499999,206013,306012,335820,835819,239230,739229,19026,519025,
67,balanced,0,800000,999999,539324,739323,190233,390232,85696,585695,109256,609255,93122,593121,
68,attr0_narrow,0,900000,999999,0,499999,70582,570581,0,499999,500000,999999,0,499999,
69,attr1_narrow,1,500000,999999,425660,525659,0,499999,39958,539957,500000,999999,500000,999999,
70,single_attr2,2,0,999999,0,999999,454123,554122,0,999999,0,999999,0,999999,
71,balanced,0,0,199999,366528,566527,800000,999999,0,499999,500000,999999,434888,934887,
72,attr0_narrow,0,753030,853029,392006,892005,0,499999,319707,819706,334025,834024,213975,713974,
73,attr1_narrow,1,500000,999999,900000,999999,105768,605767,120774,620773,500000,999999,0,499999,
74,attr2_narrow,2,0,499999,121925,621924,799909,899908,373117,873116,500000,999999,165338,665337,
75,single_attr3,3,0,999999,0,999999,0,999999,866081,966080,0,999999,0,999999,
76,attr0_narrow,0,465704,565703,149162,649161,164586,664585,500000,999999,446484,946483,500000,999999,
77,attr1_narrow,1,0,499999,37268,137267,128616,628615,500000,999999,158381,658380,500000,999999,
78,attr2_narrow,2,0,499999,0,499999,853525,953524,0,499999,305790,805789,90915,590914,
79,balanced,0,77856,277855,0,199999,54426,254425,473641,973640,500000,999999,0,499999,
80,single_attr4,4,0,999999,0,999999,0,999999,0,999999,650802,750801,0,999999,
81,attr1_narrow,1,292396,792395,0,99999,272806,772805,0,499999,477187,977186,500000,999999,
82,attr2_narrow,2,433200,933199,0,499999,420049,520048,104308,604307,196385,696384,251771,751770,
83,balanced,0,281649,481648,267223,467222,0,199999,287993,787992,500000,999999,442442,942441,
84,attr0_narrow,0,536917,636916,36091,536090,405339,905338,500000,999999,67824,567823,135254,635253,
85,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,744053,844052,
86,attr2_narrow,2,399936,899935,500000,999999,729827,829826,45846,545845,0,499999,329012,829011,
87,balanced,0,0,199999,18067,218066,444918,644917,0,499999,500000,999999,302927,802926,
88,attr0_narrow,0,0,99999,0,499999,116559,616558,440984,940983,208694,708693,447892,947891,
89,attr1_narrow,1,463040,963039,571734,671733,500000,999999,500000,999999,500000,999999,58755,558754,
90,single_attr0,0,470226,570225,0,999999,0,999999,0,999999,0,999999,0,999999,
91,balanced,0,80141,280140,482452,682451,406761,606760,301929,801928,169172,669171,500000,999999,
92,attr0_narrow,0,499291,599290,442224,942223,404949,904948,1515,501514,500000,999999,143698,643697,
93,attr1_narrow,1,500000,999999,654575,754574,384698,884697,500000,999999,301963,801962,0,499999,
94,attr2_narrow,2,149711,649710,0,499999,809639,909638,231181,731180,0,499999,0,499999,
95,single_attr1,1,0,999999,869742,969741,0,999999,0,999999,0,999999,0,999999,
96,attr0_narrow,0,621008,721007,421748,921747,500000,999999,500000,999999,0,499999,50752,550751,
97,attr1_narrow,1,293487,793486,883824,983823,202745,702744,0,499999,392761,892760,192738,692737,
98,attr2_narrow,2,262564,762563,481568,981567,840085,940084,64181,564180,500000,999999,425536,925535,
99,balanced,0,730230,930229,800000,999999,623169,823168,0,499999,500000,999999,168490,668489,
100,single_attr2,2,0,999999,0,999999,900000,999999,0,999999,0,999999,0,999999,
101,attr1_narrow,1,116759,616758,900000,999999,0,499999,0,499999,415253,915252,500000,999999,
102,attr2_narrow,2,178553,678552,0,499999,679547,779546,500000,999999,0,499999,0,499999,
103,balanced,0,104461,304460,132491,332490,112966,312965,193576,693575,0,499999,267928,767927,
104,attr0_narrow,0,786039,886038,372817,872816,307333,807332,386610,886609,324954,824953,214269,714268,
105,single_attr3,3,0,999999,0,999999,0,999999,618302,718301,0,999999,0,999999,
106,attr2_narrow,2,343228,843227,344722,844721,0,99999,114084,614083,500000,999999,0,499999,
107,balanced,0,189252,389251,800000,999999,762253,962252,165703,665702,336769,836768,500000,999999,
108,attr0_narrow,0,385893,485892,500000,999999,0,499999,0,499999,107085,607084,500000,999999,
109,attr1_narrow,1,500000,999999,900000,999999,204221,704220,492359,992358,0,499999,0,499999,
110,single_attr4,4,0,999999,0,999999,0,999999,0,999999,650508,750507,0,999999,
111,balanced,0,623765,823764,0,199999,239742,439741,143022,643021,129815,629814,500000,999999,
112,attr0_narrow,0,539593,639592,160788,660787,0,499999,500000,999999,161071,661070,495979,995978,
113,attr1_narrow,1,218610,718609,516987,616986,418020,918019,500000,999999,262025,762024,136151,636150,
114,attr2_narrow,2,0,499999,500000,999999,694641,794640,0,499999,500000,999999,147762,647761,
115,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,92149,192148,
116,attr0_narrow,0,8326,108325,500000,999999,496244,996243,0,499999,180202,680201,16894,516893,
117,attr1_narrow,1,252847,752846,51867,151866,500000,999999,144727,644726,0,499999,297480,797479,
118,attr2_narrow,2,500000,999999,66723,566722,0,99999,349042,849041,500000,999999,200903,700902,
119,balanced,0,527146,727145,210431,410430,492052,692051,402358,902357,434147,934146,0,499999,
120,single_attr0,0,292129,392128,0,999999,0,999999,0,999999,0,999999,0,999999,
121,attr1_narrow,1,332333,832332,882548,982547,416357,916356,128981,628980,459433,959432,0,499999,
122,attr2_narrow,2,4991,504990,0,499999,192750,292749,111457,611456,175518,675517,401920,901919,
123,balanced,0,186263,386262,739216,939215,173484,373483,0,499999,288858,788857,0,499999,
124,attr0_narrow,0,864325,964324,0,499999,130692,630691,474851,974850,193449,693448,220269,720268,
125,single_attr1,1,0,999999,139529,239528,0,999999,0,999999,0,999999,0,999999,
126,attr2_narrow,2,0,499999,0,499999,230167,330166,0,499999,500000,999999,364929,864928,
127,balanced,0,721003,921002,630713,830712,633676,833675,375397,875396,500000,999999,88726,588725,
128,attr0_narrow,0,412823,512822,53904,553903,0,499999,287006,787005,0,499999,0,499999,
129,attr1_narrow,1,500000,999999,64084,164083,500000,999999,234459,734458,15945,515944,0,499999,
130,single_attr2,2,0,999999,0,999999,464244,564243,0,999999,0,999999,0,999999,
131,balanced,0,0,199999,238934,438933,679526,879525,0,499999,227490,727489,355397,855396,
132,attr0_narrow,0,730384,830383,500000,999999,240406,740405,375465,875464,377246,877245,0,499999,
133,attr1_narrow,1,430972,930971,780798,880797,0,499999,500000,999999,0,499999,63646,563645,
134,attr2_narrow,2,0,499999,301746,801745,852151,952150,237724,737723,0,499999,433261,933260,
135,single_attr3,3,0,999999,0,999999,0,999999,53529,153528,0,999999,0,999999,
136,attr0_narrow,0,767277,867276,0,499999,396476,896475,384661,884660,273789,773788,500000,999999,
137,attr1_narrow,1,200574,700573,21552,121551,215928,715927,500000,999999,500000,999999,500000,999999,
138,attr2_narrow,2,271966,771965,434538,934537,843272,943271,374671,874670,177651,677650,500000,999999,
139,balanced,0,0,199999,0,199999,0,199999,0,499999,0,499999,153313,653312,
140,single_attr4,4,0,999999,0,999999,0,999999,0,999999,626264,726263,0,999999,
141,attr1_narrow,1,359546,859545,0,99999,500000,999999,0,499999,0,499999,82289,582288,
142,attr2_narrow,2,0,499999,286569,786568,521621,621620,500000,999999,500000,999999,293117,793116,
143,balanced,0,500871,700870,0,199999,28555,228554,259798,759797,42635,542634,36165,536164,
144,attr0_narrow,0,647248,747247,500000,999999,0,499999,425814,925813,0,499999,500000,999999,
145,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,11737,111736,
146,attr2_narrow,2,323388,823387,298930,798929,352096,452095,500000,999999,343564,843563,374189,874188,
147,balanced,0,329093,529092,0,199999,335172,535171,29564,529563,500000,999999,500000,999999,
148,attr0_narrow,0,836451,936450,500000,999999,500000,999999,258659,758658,435873,935872,0,499999,
149,attr1_narrow,1,500000,999999,74426,174425,259571,759570,500000,999999,398336,898335,484907,984906,
150,single_attr0,0,782524,882523,0,999999,0,999999,0,999999,0,999999,0,999999,
151,balanced,0,571884,771883,742311,942310,633425,833424,80019,580018,385761,885760,429545,929544,
152,attr0_narrow,0,567006,667005,415535,915534,500000,999999,464067,964066,306120,806119,445091,945090,
153,attr1_narrow,1,323427,823426,519106,619105,117942,617941,500000,999999,0,499999,493908,993907,
154,attr2_narrow,2,0,499999,500000,999999,900000,999999,0,499999,500000,999999,0,499999,
155,single_attr1,1,0,999999,750493,850492,0,999999,0,999999,0,999999,0,999999,
156,attr0_narrow,0,634469,734468,379718,879717,477242,977241,500000,999999,127014,627013,24765,524764,
157,attr1_narrow,1,86973,586972,729747,829746,0,499999,496972,996971,0,499999,500000,999999,
158,attr2_narrow,2,0,499999,368881,868880,588919,688918,500000,999999,40262,540261,500000,999999,
159,balanced,0,84662,284661,124239,324238,517339,717338,500000,999999,0,499999,0,499999,
160,single_attr2,2,0,999999,0,999999,416003,516002,0,999999,0,999999,0,999999,
161,attr1_narrow,1,487811,987810,433159,533158,365712,865711,231789,731788,0,499999,109946,609945,
162,attr2_narrow,2,45536,545535,317000,816999,832058,932057,0,499999,0,499999,0,499999,
163,balanced,0,210248,410247,336754,536753,178675,378674,477443,977442,327377,827376,258275,758274,
164,attr0_narrow,0,858406,958405,11565,511564,469369,969368,500000,999999,0,499999,56075,556074,
165,single_attr3,3,0,999999,0,999999,0,999999,96398,196397,0,999999,0,999999,
166,attr2_narrow,2,0,499999,335738,835737,114877,214876,5826,505825,397174,897173,0,499999,
167,balanced,0,0,199999,360081,560080,0,199999,0,499999,88277,588276,7056,507055,
168,attr0_narrow,0,432748,532747,500000,999999,120477,620476,236888,736887,0,499999,73139,573138,
169,attr1_narrow,1,0,499999,241995,341994,0,499999,401984,901983,423125,923124,310127,810126,
170,single_attr4,4,0,999999,0,999999,0,999999,0,999999,435357,535356,0,999999,
171,balanced,0,643444,843443,308728,508727,780602,980601,0,499999,500000,999999,66589,566588,
172,attr0_narrow,0,677166,777165,500000,999999,178417,678416,140562,640561,500000,999999,500000,999999,
173,attr1_narrow,1,0,499999,284643,384642,23527,523526,0,499999,500000,999999,92159,592158,
174,attr2_narrow,2,68987,568986,500000,999999,143125,243124,426794,926793,0,499999,500000,999999,
175,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,531028,631027,
176,attr0_narrow,0,498698,598697,0,499999,146329,646328,252172,752171,0,499999,0,499999,
177,attr1_narrow,1,417120,917119,328983,428982,190708,690707,0,499999,500000,999999,500000,999999,
178,attr2_narrow,2,0,499999,0,499999,420358,520357,306204,806203,500000,999999,500000,999999,
179,balanced,0,367485,567484,651860,851859,776834,976833,32269,532268,500000,999999,439957,939956,
180,single_attr0,0,59395,159394,0,999999,0,999999,0,999999,0,999999,0,999999,
181,attr1_narrow,1,269704,769703,839453,939452,244301,744300,228299,728298,500000,999999,36369,536368,
182,attr2_narrow,2,0,499999,276603,776602,195288,295287,500000,999999,441872,941871,500000,999999,
183,balanced,0,800000,999999,800000,999999,493789,693788,156393,656392,412144,912143,407307,907306,
184,attr0_narrow,0,438916,538915,150075,650074,0,499999,0,499999,6755,506754,0,499999,
185,single_attr1,1,0,999999,527500,627499,0,999999,0,999999,0,999999,0,999999,
186,attr2_narrow,2,0,499999,468406,968405,368866,468865,353255,853254,178864,678863,500000,999999,
187,balanced,0,502732,702731,161325,361324,800000,999999,500000,999999,0,499999,500000,999999,
188,attr0_narrow,0,801658,901657,500000,999999,500000,999999,234957,734956,244181,744180,500000,999999,
189,attr1_narrow,1,500000,999999,782945,882944,387105,887104,318654,818653,500000,999999,57206,557205,
190,single_attr2,2,0,999999,0,999999,0,99999,0,999999,0,999999,0,999999,
191,balanced,0,749187,949186,14690,214689,0,199999,0,499999,129777,629776,500000,999999,
192,attr0_narrow,0,498785,598784,181121,681120,22697,522696,153862,653861,500000,999999,500000,999999,
193,attr1_narrow,1,83851,583850,0,99999,132748,632747,500000,999999,0,499999,0,499999,
194,attr2_narrow,2,0,499999,394133,894132,274982,374981,307122,807121,500000,999999,0,499999,
195,single_attr3,3,0,999999,0,999999,0,999999,304029,404028,0,999999,0,999999,
196,attr0_narrow,0,542646,642645,0,499999,0,499999,210048,710047,500000,999999,209362,709361,
197,attr1_narrow,1,0,499999,540631,640630,500000,999999,219094,719093,0,499999,137745,637744,
198,attr2_narrow,2,21180,521179,414118,914117,367437,467436,500000,999999,83063,583062,353089,853088,
199,balanced,0,591349,791348,536363,736362,358390,558389,268188,768187,135731,635730,343519,843518,
200,single_attr4,4,0,999999,0,999999,0,999999,0,999999,388064,488063,0,999999,
201,attr1_narrow,1,305769,805768,507762,607761,383273,883272,0,499999,64859,564858,57211,557210,
202,attr2_narrow,2,213662,713661,500000,999999,266723,366722,0,499999,0,499999,15475,515474,
203,balanced,0,0,199999,155366,355365,762716,962715,0,499999,500000,999999,0,499999,
204,attr0_narrow,0,414200,514199,500000,999999,500000,999999,0,499999,334854,834853,500000,999999,
205,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,603108,703107,
206,attr2_narrow,2,375597,875596,9722,509721,725287,825286,91175,591174,268215,768214,0,499999,
207,balanced,0,0,199999,319624,519623,25869,225868,0,499999,365320,865319,0,499999,
208,attr0_narrow,0,561221,661220,45374,545373,481168,981167,75315,575314,500000,999999,0,499999,
209,attr1_narrow,1,211958,711957,727739,827738,393442,893441,100175,600174,426881,926880,0,499999,
210,single_attr0,0,703054,803053,0,999999,0,999999,0,999999,0,999999,0,999999,
211,balanced,0,537982,737981,351093,551092,468282,668281,0,499999,310409,810408,127513,627512,
212,attr0_narrow,0,644703,744702,183201,683200,0,499999,331541,831540,191696,691695,480064,980063,
213,attr1_narrow,1,500000,999999,416222,516221,0,499999,0,499999,0,499999,478568,978567,
214,attr2_narrow,2,350741,850740,359428,859427,489863,589862,410813,910812,0,499999,0,499999,
215,single_attr1,1,0,999999,462081,562080,0,999999,0,999999,0,999999,0,999999,
216,attr0_narrow,0,251386,351385,332193,832192,32011,532010,20581,520580,0,499999,0,499999,
217,attr1_narrow,1,0,499999,676432,776431,371956,871955,115871,615870,63163,563162,0,499999,
218,attr2_narrow,2,333558,833557,0,499999,489478,589477,0,499999,321692,821691,0,499999,
219,balanced,0,474372,674371,447999,647998,388984,588983,0,499999,283725,783724,500000,999999,
220,single_attr2,2,0,999999,0,999999,0,99999,0,999999,0,999999,0,999999,
221,attr1_narrow,1,251964,751963,902,100901,500000,999999,420165,920164,500000,999999,177715,677714,
222,attr2_narrow,2,230007,730006,0,499999,305345,405344,221064,721063,41249,541248,118420,618419,
223,balanced,0,0,199999,495026,695025,411177,611176,461235,961234,500000,999999,0,499999,
224,attr0_narrow,0,421504,521503,500000,999999,468404,968403,500000,999999,410323,910322,500000,999999,
225,single_attr3,3,0,999999,0,999999,0,999999,4793,104792,0,999999,0,999999,
226,attr2_narrow,2,500000,999999,421853,921852,540401,640400,270041,770040,0,499999,500000,999999,
227,balanced,0,406618,606617,800000,999999,472596,672595,425327,925326,306851,806850,24114,524113,
228,attr0_narrow,0,456428,556427,0,499999,1118,501117,500000,999999,500000,999999,82181,582180,
229,attr1_narrow,1,285606,785605,900000,999999,0,499999,76327,576326,426613,926612,227707,727706,
230,single_attr4,4,0,999999,0,999999,0,999999,0,999999,505123,605122,0,999999,
231,balanced,0,546138,746137,0,199999,570236,770235,467247,967246,500000,999999,204682,704681,
232,attr0_narrow,0,85451,185450,0,499999,0,499999,142977,642976,321012,821011,249873,749872,
233,attr1_narrow,1,367248,867247,424246,524245,500000,999999,153933,653932,0,499999,287307,787306,
234,attr2_narrow,2,448954,948953,438791,938790,402675,502674,500000,999999,474535,974534,9801,509800,
235,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,86608,186607,
236,attr0_narrow,0,530517,630516,0,499999,130108,630107,108243,608242,500000,999999,487096,987095,
237,attr1_narrow,1,129471,629470,215043,315042,60305,560304,0,499999,77002,577001,376412,876411,
238,attr2_narrow,2,39967,539966,0,499999,900000,999999,281432,781431,41255,541254,0,499999,
239,balanced,0,488456,688455,0,199999,0,199999,0,499999,203063,703062,131898,631897,
240,single_attr0,0,322834,422833,0,999999,0,999999,0,999999,0,999999,0,999999,
241,attr1_narrow,1,478921,978920,480087,580086,0,499999,0,499999,500000,999999,289671,789670,
242,attr2_narrow,2,0,499999,114536,614535,690298,790297,0,499999,0,499999,32541,532540,
243,balanced,0,42167,242166,251682,451681,148712,348711,500000,999999,448404,948403,284702,784701,
244,attr0_narrow,0,201512,301511,0,499999,0,499999,38546,538545,0,499999,78255,578254,
245,single_attr1,1,0,999999,83744,183743,0,999999,0,999999,0,999999,0,999999,
246,attr2_narrow,2,500000,999999,0,499999,658145,758144,74743,574742,500000,999999,35337,535336,
247,balanced,0,768114,968113,279615,479614,758148,958147,0,499999,379717,879716,253692,753691,
248,attr0_narrow,0,876657,976656,0,499999,406907,906906,495944,995943,291223,791222,0,499999,
249,attr1_narrow,1,150582,650581,840706,940705,119393,619392,159228,659227,240015,740014,63135,563134,
250,single_attr2,2,0,999999,0,999999,868079,968078,0,999999,0,999999,0,999999,
251,balanced,0,332716,532715,546152,746151,56238,256237,263533,763532,500000,999999,500000,999999,
252,attr0_narrow,0,0,99999,0,499999,139124,639123,20302,520301,423692,923691,500000,999999,
253,attr1_narrow,1,173153,673152,602092,702091,500000,999999,0,499999,5020,505019,431701,931700,
254,attr2_narrow,2,37674,537673,0,499999,32789,132788,0,499999,0,499999,0,499999,
255,single_attr3,3,0,999999,0,999999,0,999999,432400,532399,0,999999,0,999999,
256,attr0_narrow,0,322832,422831,452964,952963,0,499999,257568,757567,403390,903389,233835,733834,
257,attr1_narrow,1,500000,999999,318618,418617,347883,847882,0,499999,393092,893091,0,499999,
258,attr2_narrow,2,85201,585200,358780,858779,0,99999,473882,973881,333268,833267,0,499999,
259,balanced,0,800000,999999,101483,301482,459153,659152,500000,999999,0,499999,15684,515683,
260,single_attr4,4,0,999999,0,999999,0,999999,0,999999,158837,258836,0,999999,
261,attr1_narrow,1,0,499999,430616,530615,500000,999999,500000,999999,279406,779405,0,499999,
262,attr2_narrow,2,433731,933730,312939,812938,94063,194062,0,499999,500000,999999,0,499999,
263,balanced,0,800000,999999,800000,999999,463852,663851,0,499999,82069,582068,500000,999999,
264,attr0_narrow,0,229555,329554,353509,853508,311448,811447,490693,990692,0,499999,398502,898501,
265,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,900000,999999,
266,attr2_narrow,2,0,499999,500000,999999,210047,310046,0,499999,224451,724450,487449,987448,
267,balanced,0,626724,826723,352945,552944,581473,781472,131262,631261,470437,970436,28286,528285,
268,attr0_narrow,0,707843,807842,0,499999,151801,651800,459453,959452,403898,903897,0,499999,
269,attr1_narrow,1,219328,719327,188001,288000,0,499999,419605,919604,308354,808353,340992,840991,
270,single_attr0,0,836657,936656,0,999999,0,999999,0,999999,0,999999,0,999999,
271,balanced,0,282125,482124,311992,511991,260478,460477,156153,656152,0,499999,500000,999999,
272,attr0_narrow,0,245434,345433,254671,754670,500000,999999,500000,999999,0,499999,126905,626904,
273,attr1_narrow,1,0,499999,588943,688942,500000,999999,114417,614416,491276,991275,0,499999,
274,attr2_narrow,2,115,500114,148684,648683,33235,133234,113024,613023,500000,999999,500000,999999,
275,single_attr1,1,0,999999,540528,640527,0,999999,0,999999,0,999999,0,999999,
276,attr0_narrow,0,730334,830333,500000,999999,320376,820375,428912,928911,355624,855623,19231,519230,
277,attr1_narrow,1,0,499999,511508,611507,444413,944412,0,499999,500000,999999,329507,829506,
278,attr2_narrow,2,500000,999999,500000,999999,451405,551404,0,499999,139669,639668,46781,546780,
279,balanced,0,3872,203871,596415,796414,0,199999,0,499999,500000,999999,0,499999,
280,single_attr2,2,0,999999,0,999999,173757,273756,0,999999,0,999999,0,999999,
281,attr1_narrow,1,60244,560243,639103,739102,234183,734182,0,499999,0,499999,500000,999999,
282,attr2_narrow,2,500000,999999,0,499999,827398,927397,0,499999,0,499999,500000,999999,
283,balanced,0,271378,471377,800000,999999,800000,999999,500000,999999,500000,999999,500000,999999,
284,attr0_narrow,0,245690,345689,157706,657705,500000,999999,46670,546669,0,499999,406641,906640,
285,single_attr3,3,0,999999,0,999999,0,999999,46252,146251,0,999999,0,999999,
286,attr2_narrow,2,0,499999,89379,589378,525075,625074,500000,999999,500000,999999,131243,631242,
287,balanced,0,441949,641948,650622,850621,202871,402870,0,499999,221463,721462,207703,707702,
288,attr0_narrow,0,888351,988350,378065,878064,94393,594392,41289,541288,0,499999,0,499999,
289,attr1_narrow,1,108220,608219,539307,639306,500000,999999,0,499999,500000,999999,210358,710357,
290,single_attr4,4,0,999999,0,999999,0,999999,0,999999,897928,997927,0,999999,
291,balanced,0,685337,885336,800000,999999,746820,946819,0,499999,382316,882315,303096,803095,
292,attr0_narrow,0,841586,941585,0,499999,0,499999,52187,552186,500000,999999,229263,729262,
293,attr1_narrow,1,0,499999,900000,999999,0,499999,0,499999,478854,978853,0,499999,
294,attr2_narrow,2,366564,866563,396448,896447,289332,389331,173219,673218,164272,664271,500000,999999,
295,single_attr5,5,0,999999,0,999999,0,999999,0,999999,0,999999,755616,855615,
296,attr0_narrow,0,2482,102481,500000,999999,0,499999,114107,614106,0,499999,6939,506938,
297,attr1_narrow,1,95266,595265,65434,165433,434541,934540,332110,832109,0,499999,0,499999,
298,attr2_narrow,2,29233,529232,0,499999,32243,132242,0,499999,134363,634362,500000,999999,
299,balanced,0,526771,726770,662400,862399,134270,334269,500000,999999,500000,999999,0,499999,
300,single_attr0,0,37848,137847,0,999999,0,999999,0,999999,0,999999,0,999999,
301,attr1_narrow,1,398291,898290,431798,531797,0,499999,388813,888812,442568,942567,9733,509732,
